Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,177,0,Some Random Commen with Id 0
1,0,5,103,5,Some Random Commen with Id 1
2,0,5,111,8,Some Random Commen with Id 2
3,0,5,170,4,Some Random Commen with Id 3
4,0,5,16,5,Some Random Commen with Id 4
5,0,5,95,9,Some Random Commen with Id 5
6,0,5,31,9,Some Random Commen with Id 6
7,0,5,181,4,Some Random Commen with Id 7
8,1,0,44,4,Some Random Commen with Id 8
9,1,0,158,0,Some Random Commen with Id 9
10,1,0,198,0,Some Random Commen with Id 10
11,1,0,107,6,Some Random Commen with Id 11
12,2,0,178,7,Some Random Commen with Id 12
13,2,0,119,1,Some Random Commen with Id 13
14,3,0,136,1,Some Random Commen with Id 14
15,3,0,121,7,Some Random Commen with Id 15
16,3,0,120,1,Some Random Commen with Id 16
17,3,0,135,6,Some Random Commen with Id 17
18,3,0,154,7,Some Random Commen with Id 18
19,3,0,181,4,Some Random Commen with Id 19
20,3,0,23,8,Some Random Commen with Id 20
21,3,0,10,4,Some Random Commen with Id 21
22,3,0,199,9,Some Random Commen with Id 22
23,4,8,117,7,Some Random Commen with Id 23
24,4,8,78,9,Some Random Commen with Id 24
25,4,8,17,9,Some Random Commen with Id 25
26,4,8,106,1,Some Random Commen with Id 26
27,5,6,7,1,Some Random Commen with Id 27
28,5,6,22,5,Some Random Commen with Id 28
29,5,6,159,7,Some Random Commen with Id 29
30,5,6,43,5,Some Random Commen with Id 30
31,6,0,10,6,Some Random Commen with Id 31
32,6,0,81,8,Some Random Commen with Id 32
33,6,0,14,4,Some Random Commen with Id 33
34,6,0,38,5,Some Random Commen with Id 34
35,6,0,184,2,Some Random Commen with Id 35
36,8,0,50,1,Some Random Commen with Id 36
37,8,0,114,7,Some Random Commen with Id 37
38,8,0,154,1,Some Random Commen with Id 38
39,8,0,32,0,Some Random Commen with Id 39
40,8,0,177,4,Some Random Commen with Id 40
41,9,0,165,6,Some Random Commen with Id 41
42,9,0,62,1,Some Random Commen with Id 42
43,9,0,106,5,Some Random Commen with Id 43
44,9,0,148,2,Some Random Commen with Id 44
45,9,0,85,6,Some Random Commen with Id 45
46,9,0,8,4,Some Random Commen with Id 46
47,9,0,96,7,Some Random Commen with Id 47
48,10,0,70,9,Some Random Commen with Id 48
49,10,0,22,1,Some Random Commen with Id 49
50,10,0,30,2,Some Random Commen with Id 50
51,10,0,22,1,Some Random Commen with Id 51
52,13,4,182,3,Some Random Commen with Id 52
53,13,4,23,3,Some Random Commen with Id 53
54,13,4,39,6,Some Random Commen with Id 54
55,13,4,78,1,Some Random Commen with Id 55
56,13,4,28,4,Some Random Commen with Id 56
57,13,4,15,2,Some Random Commen with Id 57
58,13,4,48,9,Some Random Commen with Id 58
59,13,4,34,8,Some Random Commen with Id 59
60,14,5,151,3,Some Random Commen with Id 60
61,14,5,39,9,Some Random Commen with Id 61
62,14,5,19,9,Some Random Commen with Id 62
63,14,5,10,5,Some Random Commen with Id 63
64,14,5,173,2,Some Random Commen with Id 64
65,14,5,104,9,Some Random Commen with Id 65
66,14,5,127,1,Some Random Commen with Id 66
67,14,5,74,1,Some Random Commen with Id 67
68,14,5,160,6,Some Random Commen with Id 68
69,15,5,78,7,Some Random Commen with Id 69
70,15,5,77,0,Some Random Commen with Id 70
71,15,5,185,6,Some Random Commen with Id 71
72,15,5,41,3,Some Random Commen with Id 72
73,15,5,162,6,Some Random Commen with Id 73
74,16,0,42,4,Some Random Commen with Id 74
75,16,0,187,2,Some Random Commen with Id 75
76,16,0,79,7,Some Random Commen with Id 76
77,16,0,81,1,Some Random Commen with Id 77
78,16,0,17,5,Some Random Commen with Id 78
79,16,0,104,9,Some Random Commen with Id 79
80,16,0,115,3,Some Random Commen with Id 80
81,17,1,21,3,Some Random Commen with Id 81
82,17,1,16,4,Some Random Commen with Id 82
83,17,1,150,6,Some Random Commen with Id 83
84,17,1,163,4,Some Random Commen with Id 84
85,17,1,199,6,Some Random Commen with Id 85
86,17,1,57,1,Some Random Commen with Id 86
87,17,1,179,3,Some Random Commen with Id 87
88,17,1,111,7,Some Random Commen with Id 88
89,17,1,58,8,Some Random Commen with Id 89
90,18,9,101,4,Some Random Commen with Id 90
91,18,9,88,9,Some Random Commen with Id 91
92,18,9,140,4,Some Random Commen with Id 92
93,19,8,106,2,Some Random Commen with Id 93
94,19,8,82,1,Some Random Commen with Id 94
95,19,8,90,0,Some Random Commen with Id 95
96,19,8,56,2,Some Random Commen with Id 96
97,19,8,83,7,Some Random Commen with Id 97
98,20,5,119,1,Some Random Commen with Id 98
99,20,5,171,6,Some Random Commen with Id 99
100,21,9,53,1,Some Random Commen with Id 100
101,21,9,165,5,Some Random Commen with Id 101
102,22,5,121,9,Some Random Commen with Id 102
103,22,5,106,5,Some Random Commen with Id 103
104,22,5,9,1,Some Random Commen with Id 104
105,22,5,77,9,Some Random Commen with Id 105
106,25,9,61,4,Some Random Commen with Id 106
107,25,9,24,2,Some Random Commen with Id 107
108,25,9,161,2,Some Random Commen with Id 108
109,25,9,99,0,Some Random Commen with Id 109
110,25,9,99,4,Some Random Commen with Id 110
111,25,9,129,1,Some Random Commen with Id 111
112,25,9,146,1,Some Random Commen with Id 112
113,25,9,69,2,Some Random Commen with Id 113
114,26,4,16,1,Some Random Commen with Id 114
115,26,4,52,6,Some Random Commen with Id 115
116,26,4,197,2,Some Random Commen with Id 116
117,26,4,17,5,Some Random Commen with Id 117
118,26,4,179,7,Some Random Commen with Id 118
119,26,4,116,2,Some Random Commen with Id 119
120,27,7,138,9,Some Random Commen with Id 120
121,27,7,17,2,Some Random Commen with Id 121
122,27,7,176,1,Some Random Commen with Id 122
123,27,7,184,0,Some Random Commen with Id 123
124,27,7,60,8,Some Random Commen with Id 124
125,27,7,78,4,Some Random Commen with Id 125
126,27,7,1,3,Some Random Commen with Id 126
127,27,7,183,3,Some Random Commen with Id 127
128,27,7,144,7,Some Random Commen with Id 128
129,28,1,9,2,Some Random Commen with Id 129
130,28,1,116,6,Some Random Commen with Id 130
131,29,9,108,8,Some Random Commen with Id 131
132,29,9,6,3,Some Random Commen with Id 132
133,29,9,16,1,Some Random Commen with Id 133
134,29,9,61,2,Some Random Commen with Id 134
135,29,9,147,8,Some Random Commen with Id 135
136,29,9,92,5,Some Random Commen with Id 136
137,29,9,194,5,Some Random Commen with Id 137
138,30,0,28,4,Some Random Commen with Id 138
139,30,0,150,3,Some Random Commen with Id 139
140,30,0,70,5,Some Random Commen with Id 140
141,30,0,159,6,Some Random Commen with Id 141
142,30,0,76,5,Some Random Commen with Id 142
143,30,0,190,9,Some Random Commen with Id 143
144,30,0,194,9,Some Random Commen with Id 144
145,31,4,152,2,Some Random Commen with Id 145
146,31,4,88,8,Some Random Commen with Id 146
147,31,4,44,5,Some Random Commen with Id 147
148,31,4,65,8,Some Random Commen with Id 148
149,31,4,145,7,Some Random Commen with Id 149
150,32,5,197,7,Some Random Commen with Id 150
151,32,5,134,2,Some Random Commen with Id 151
152,32,5,96,8,Some Random Commen with Id 152
153,32,5,135,5,Some Random Commen with Id 153
154,32,5,160,0,Some Random Commen with Id 154
155,32,5,145,7,Some Random Commen with Id 155
156,33,5,102,9,Some Random Commen with Id 156
157,33,5,74,9,Some Random Commen with Id 157
158,33,5,62,6,Some Random Commen with Id 158
159,33,5,148,9,Some Random Commen with Id 159
160,33,5,7,2,Some Random Commen with Id 160
161,33,5,35,7,Some Random Commen with Id 161
162,33,5,130,4,Some Random Commen with Id 162
163,34,5,62,2,Some Random Commen with Id 163
164,35,2,134,2,Some Random Commen with Id 164
165,35,2,124,4,Some Random Commen with Id 165
166,35,2,37,5,Some Random Commen with Id 166
